date,title,url,year,language,stock_code,company_name
2021-06-01,NOTICE OF THE 18th ANNUAL MEETING OF SHAREHOLDERS,https://www2.jpx.co.jp/disc/24330/140120210531435634.pdf,2021,English,24330,博報堂ＤＹホールディングス
2021-06-01,第18期定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/24330/140120210531435632.pdf,2021,Japanese,24330,博報堂ＤＹホールディングス
2021-06-01,第18期定時株主総会招集ご通知に際してのインターネット開示事項,https://www2.jpx.co.jp/disc/24330/140120210531435633.pdf,2021,Japanese,24330,博報堂ＤＹホールディングス
2020-06-10,NOTICE OF THE 17th ANNUAL MEETING OF SHAREHOLDERS,https://www2.jpx.co.jp/disc/24330/140120200609440813.pdf,2020,English,24330,博報堂ＤＹホールディングス
2020-06-10,第17期定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/24330/140120200609440811.pdf,2020,Japanese,24330,博報堂ＤＹホールディングス
2020-06-10,第17期定時株主総会招集ご通知に際してのインターネット開示事項,https://www2.jpx.co.jp/disc/24330/140120200609440812.pdf,2020,Japanese,24330,博報堂ＤＹホールディングス
2025-03-06,2024年度定時株主総会招集ご通知及び株主総会資料,https://www2.jpx.co.jp/disc/25010/140120250305588668.pdf,2025,Japanese,25010,サッポロホールディングス
2025-03-06,Partial Correction to the Notice of Convocation of the 101st Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25010/140120250305588670.pdf,2025,Japanese,25010,サッポロホールディングス
2025-03-06,Notice of Convocation of the 101st Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25010/140120250305588669.pdf,2025,Japanese,25010,サッポロホールディングス
2025-03-01,2024年度定時株主総会招集ご通知の一部修正について,https://www2.jpx.co.jp/disc/25010/140120250228585657.pdf,2025,Japanese,25010,サッポロホールディングス
2025-02-26,2024年度定時株主総会招集ご通知 その他の電子提供措置事項（交付書面省略事項）,https://www2.jpx.co.jp/disc/25010/140120250225581714.pdf,2025,Japanese,25010,サッポロホールディングス
2025-02-26,2024年度定時株主総会招集ご通知及び株主総会資料,https://www2.jpx.co.jp/disc/25010/140120250225581713.pdf,2025,Japanese,25010,サッポロホールディングス
2025-02-26,Notice of Convocation of the 101st Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25010/140120250225581715.pdf,2025,Japanese,25010,サッポロホールディングス
2024-02-28,2023年度定時株主総会招集ご通知 その他の電子提供措置事項（交付書面省略事項）,https://www2.jpx.co.jp/disc/25010/140120240227543850.pdf,2024,Japanese,25010,サッポロホールディングス
2024-02-27,2023年度定時株主総会招集ご通知及び株主総会資料,https://www2.jpx.co.jp/disc/25010/140120240226542977.pdf,2024,Japanese,25010,サッポロホールディングス
2024-02-27,Notice of Convocation of the 100th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25010/140120240226542979.pdf,2024,Japanese,25010,サッポロホールディングス
2023-02-28,Notice of Convocation of the 99th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25010/140120230227519067.pdf,2023,Japanese,25010,サッポロホールディングス
2023-02-28,2022年度定時株主総会招集ご通知 その他の電子提供措置事項（交付書面省略事項）,https://www2.jpx.co.jp/disc/25010/140120230227519066.pdf,2023,Japanese,25010,サッポロホールディングス
2023-02-28,2022年度定時株主総会招集ご通知及び株主総会資料,https://www2.jpx.co.jp/disc/25010/140120230227519065.pdf,2023,Japanese,25010,サッポロホールディングス
2022-02-25,2021年定時株主総会 インターネット開示事項,https://www2.jpx.co.jp/disc/25010/140120220224595626.pdf,2022,Japanese,25010,サッポロホールディングス
2022-02-25,2021年定時株主総会招集通知,https://www2.jpx.co.jp/disc/25010/140120220224595625.pdf,2022,Japanese,25010,サッポロホールディングス
2022-02-25,Notice of Convocation of the 98th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25010/140120220224595627.pdf,2022,Japanese,25010,サッポロホールディングス
2021-03-11,2020年定時株主総会招集通知 インターネット開示事項 の一部訂正について,https://www2.jpx.co.jp/disc/25010/140120210310476444.pdf,2021,Japanese,25010,サッポロホールディングス
2021-02-25,2020年定時株主総会招集通知,https://www2.jpx.co.jp/disc/25010/140120210224468835.pdf,2021,Japanese,25010,サッポロホールディングス
2021-02-25,2020年定時株主総会招集通知 インターネット開示事項,https://www2.jpx.co.jp/disc/25010/140120210224468836.pdf,2021,Japanese,25010,サッポロホールディングス
2021-02-25,Notice of Convocation of the 97th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25010/140120210224468837.pdf,2021,Japanese,25010,サッポロホールディングス
2025-02-25,CONVOCATION NOTICE OF THE 101st ANNUAL GENERAL MEETING OF SHAREHOLDERS AND MEETING MATERIALS,https://www2.jpx.co.jp/disc/25020/140120250221580941.pdf,2025,English,25020,アサヒグループホールディングス
2025-02-25,The 101st Annual General Meeting of Shareholders_Matters subject to measures for electronic provision excluded in the delivery of paper-based document,https://www2.jpx.co.jp/disc/25020/140120250221580942.pdf,2025,Japanese,25020,アサヒグループホールディングス
2025-02-25,第101回定時株主総会交付書面省略事項,https://www2.jpx.co.jp/disc/25020/140120250221580940.pdf,2025,Japanese,25020,アサヒグループホールディングス
2025-02-25,第101回定時株主総会招集ご通知及び株主総会資料,https://www2.jpx.co.jp/disc/25020/140120250221580939.pdf,2025,Japanese,25020,アサヒグループホールディングス
2024-02-26,CONVOCATION NOTICE OF THE 100th ANNUAL GENERAL MEETING OF SHAREHOLDERS AND MEETING MATERIALS,https://www2.jpx.co.jp/disc/25020/140120240222541912.pdf,2024,English,25020,アサヒグループホールディングス
2024-02-26,The 100th Annual General Meeting of Shareholders_Matters subject to measures for electronic provision excluded in the delivery of paper-based document,https://www2.jpx.co.jp/disc/25020/140120240222541913.pdf,2024,Japanese,25020,アサヒグループホールディングス
2024-02-26,第100回定時株主総会交付書面省略事項,https://www2.jpx.co.jp/disc/25020/140120240222541911.pdf,2024,Japanese,25020,アサヒグループホールディングス
2024-02-26,第100回定時株主総会招集ご通知及び株主総会資料,https://www2.jpx.co.jp/disc/25020/140120240222541910.pdf,2024,Japanese,25020,アサヒグループホールディングス
2023-02-27,電子提供措置事項のうち書面交付請求による交付書面に記載しない事項,https://www2.jpx.co.jp/disc/25020/140120230224517834.pdf,2023,Japanese,25020,アサヒグループホールディングス
2023-02-27,第99回定時株主総会招集ご通知及び株主総会資料,https://www2.jpx.co.jp/disc/25020/140120230224517833.pdf,2023,Japanese,25020,アサヒグループホールディングス
2023-02-27,Matters subject to measures for electronic provision that are not provided in the documents delivered to shareholders who have requested the delivery,https://www2.jpx.co.jp/disc/25020/140120230224517836.pdf,2023,Japanese,25020,アサヒグループホールディングス
2023-02-27,CONVOCATION NOTICE OF THE 99th ANNUAL GENERAL MEETING OF SHAREHOLDERS AND MEETING MATERIALS,https://www2.jpx.co.jp/disc/25020/140120230224517835.pdf,2023,English,25020,アサヒグループホールディングス
2022-02-24,CONVOCATION NOTICE OF THE 98th ANNUAL GENERAL MEETING OF SHAREHOLDERS,https://www2.jpx.co.jp/disc/25020/140120220222594407.pdf,2022,English,25020,アサヒグループホールディングス
2022-02-24,Items Disclosed on the Internet in Relation to the Convocation Notice of the 98th Annual General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25020/140120220222594408.pdf,2022,English,25020,アサヒグループホールディングス
2022-02-24,第98回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/25020/140120220222594385.pdf,2022,Japanese,25020,アサヒグループホールディングス
2022-02-24,第98回定時株主総会招集ご通知に際してのインターネット開示情報,https://www2.jpx.co.jp/disc/25020/140120220222594386.pdf,2022,Japanese,25020,アサヒグループホールディングス
2021-02-24,CONVOCATION NOTICE OF THE 97th ANNUAL GENERAL MEETING OF SHAREHOLDERS,https://www2.jpx.co.jp/disc/25020/140120210222467925.pdf,2021,English,25020,アサヒグループホールディングス
2021-02-24,Items Disclosed on the Internet in Relation to the Convocation Notice of the 97th Annual General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25020/140120210222467926.pdf,2021,English,25020,アサヒグループホールディングス
2021-02-24,第97回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/25020/140120210222467923.pdf,2021,Japanese,25020,アサヒグループホールディングス
2021-02-24,第97回定時株主総会招集ご通知に際してのインターネット開示情報,https://www2.jpx.co.jp/disc/25020/140120210222467924.pdf,2021,Japanese,25020,アサヒグループホールディングス
2025-02-27,"186th Reference Documents and Business Reports, etc.",https://www2.jpx.co.jp/disc/25030/140120250226582658.pdf,2025,Japanese,25030,キリンホールディングス
2025-02-27,Other Electronic Provision Measures Matters  of the 186th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25030/140120250226582659.pdf,2025,Japanese,25030,キリンホールディングス
2025-02-27,第 186回定時株主総会参考書類・事業報告等,https://www2.jpx.co.jp/disc/25030/140120250226582655.pdf,2025,Japanese,25030,キリンホールディングス
2025-02-27,第186回定時株主総会その他の電子提供措置事項,https://www2.jpx.co.jp/disc/25030/140120250226582656.pdf,2025,Japanese,25030,キリンホールディングス
2025-02-27,第186回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/25030/140120250226582654.pdf,2025,Japanese,25030,キリンホールディングス
2025-02-27,Convocation Notice of the 186th Ordinary General Meeting of Shareholders,https://www2.jpx.co.jp/disc/25030/140120250226582657.pdf,2025,English,25030,キリンホールディングス
2024-02-23,第185回定時株主総会その他の電子提供措置事項（交付書面省略事項）,https://www2.jpx.co.jp/disc/25030/140120240222541817.pdf,2024,Japanese,25030,キリンホールディングス
2024-02-23,第185回定時株主総会参考書類・事業報告等,https://www2.jpx.co.jp/disc/25030/140120240222541816.pdf,2024,Japanese,25030,キリンホールディングス
2024-02-23,第185回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/25030/140120240222541815.pdf,2024,Japanese,25030,キリンホールディングス
